id,resblock_id,resblock_id_text,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021
59,5011000000033 ,'5011000000033,63.72890703,69.39771383,69.39771383,69.39771383,78.81503746,64.21510054,64.21510054,65.08298423,65.58503661,65.11712049,425.6289738,425.6289738,427.7969147,428.1332125,427.5673365,241.4003166,241.4003166,241.4003166,241.4003166,439.2189286,656.6007875,656.6007875,652.7327519,655.2228917,655.2228917,367.7733597,294.2558234,490.877472,408.6618449,408.6618449,138.3485444,138.3485444,20118.12408,155.8418621,1123.981633,624.1401284,292.1224283,4867.549373,254.940894,254.940894,254.940894,254.940894,254.940894
60,5011000000036 ,'5011000000036,599.3267334,599.3267334,599.3267334,599.3267334,599.3267334,730.3786062,730.3786062,729.078543,596.9609457,802.2843171,1332.791252,3036.911678,1228.725726,1230.395626,1231.347801,918.7533347,918.7533347,892.1338918,946.1177016,946.1177016,3074.479481,3085.011877,3055.335533,1194.181095,1194.181095,1848.53928,1848.53928,2354.276656,1122.599758,1230.181183,13077.23737,13581.43582,17429.40949,823.6235283,7354.366779,1544.012644,2345.717961,11675.56539,729.8943521,173.7570327,646.5433564,646.5433564,646.5433564
61,5011000000039 ,'5011000000039,55.00648661,50.83426839,50.83426839,48.71797023,49.33359211,80.93258477,127.529874,81.62002958,155.293984,155.293984,925.2970234,925.2970234,922.9101064,605.5944181,925.3855105,282.6896223,267.0489568,267.0489568,267.0489568,322.3525664,600.7406874,600.7406874,600.7406874,600.7406874,600.7406874,192.6551957,431.86567,547.551348,521.4081344,378.2205307,1110.198194,1110.198194,326.6719932,326.6719932,803.2994625,158.1665487,786.3183343,1072.331905,145.2793858,145.312711,148.8241429,148.8241429,148.8241429
62,5011000000042 ,'5011000000042,3.749176128,4.629012879,6.680277772,12.88627596,7.244054933,24.34108483,24.34108483,24.34108483,76.20038349,47.59885924,95.55489108,95.55489108,96.56489781,16.19401602,16.19401602,174.0062759,95.71249875,184.7441531,184.7441531,199.7399345,81.97503528,81.97503528,81.97503528,81.97503528,81.97503528,57.6600504,45.6364366,45.6364366,23.54767464,67.80041267,884.7926617,1078.223978,1403.307849,390.9939682,1568.330356,594.2323081,742.8077687,1043.122322,130.378162,130.378162,192.0320968,191.8250462,190.190072
63,5011000000061 ,'5011000000061,198.3563769,198.3563769,198.3563769,169.0287561,57.63011858,227.4137628,227.4137628,227.4137628,198.0178446,173.4814492,765.2833889,765.2833889,763.5143958,1744.843337,1744.843337,662.6124162,662.6124162,660.8403084,628.7990882,663.4540069,455.3378228,455.3378228,455.3378228,570.884344,570.884344,861.7129051,607.7527327,605.3668993,155.1739596,615.0788818,5119.155759,9959.065597,3625.262517,635.3666663,8297.567403,1271.815472,880.5831668,6255.351152,244.2720089,244.2720089,244.2720089,244.2720089,244.3116318
64,5011000000063 ,'5011000000063,4.32221448,4.32221448,4.32221448,4.421398657,4.421398657,49.95202563,7.403175488,21.11120459,17.16194433,17.16194433,753.871551,753.871551,755.3921492,754.0480935,753.871551,70.78501663,70.78501663,69.10420659,69.10420659,138.9546666,457.1303053,421.6653038,418.4538753,429.1763302,429.1763302,401.0192773,77.14799639,299.5032339,299.5032339,296.2148026,331.3478382,1515.174932,584.7898024,164.2957883,284.7837389,284.7837389,432.222514,887.8180977,25.22627065,24.43258116,23.87929068,22.2994386,22.2994386
65,5011000000065 ,'5011000000065,53.05661362,52.69956065,47.56297604,47.56297604,47.56297604,135.1403039,118.8543999,118.8543999,104.1611159,54.81573306,261.9501237,335.5072839,262.0734857,271.6933048,271.6933048,150.5356324,150.5356324,150.5356324,160.5045339,160.5045339,272.1505641,441.483074,267.0382671,256.703921,215.6827815,259.7561061,164.0999288,90.98787849,88.45509193,214.7309439,983.9217906,983.9217906,790.7249214,297.8016352,826.7568718,352.3045223,838.7575021,404.483233,254.6027338,254.6027338,254.6027338,230.7990108,230.7990108
66,5011000000067 ,'5011000000067,30.54611488,30.54611488,30.54611488,78.21675282,30.81406064,131.5126651,131.5126651,131.5126651,181.4116205,182.8492448,919.4828267,592.8056268,555.5390313,211.7056593,956.9606772,297.9403826,297.9403826,64.57758834,110.2766543,118.5963079,1292.00085,569.8650068,569.8650068,569.8650068,569.8756276,277.3687259,277.3687259,273.3310363,273.3310363,266.6664648,2674.926042,3684.071813,295.5148041,275.0536998,521.5008606,519.4044782,348.8291074,389.3063143,182.0149203,182.0149203,182.0149203,181.5067314,181.5067314
67,5011000000072 ,'5011000000072,127.0277251,127.0277251,143.5693223,146.217591,150.084131,18.39318579,18.39318579,18.39318579,120.0337079,140.7141749,257.1001983,248.6339748,321.099628,330.9919023,321.099628,210.790443,210.790443,240.2978237,265.7931991,340.9551631,232.7988884,232.7988884,229.2562726,263.7554549,263.7554549,207.316084,272.795728,149.7056279,149.7056279,149.7056279,5055.830868,5055.830868,946.066933,306.6711275,1815.621805,487.3619059,219.0086428,380.9550633,152.1299932,157.0122189,157.0122189,157.2957233,157.2957233
68,5011000000073 ,'5011000000073,32.53191339,49.4831519,64.29074054,148.5728756,148.5728756,218.9572214,165.9460897,218.9572214,289.9427748,289.9427748,1118.438693,823.6089241,735.3116385,735.3116385,735.3116385,361.4104588,361.3288143,361.3288143,361.3288143,361.3288143,401.3662068,401.3662068,321.9537616,321.9537616,321.9537616,347.3972632,347.3972632,347.3972632,490.7706033,416.8756042,2200.34797,2200.34797,351.3300016,288.8524878,104.5666877,104.5666877,986.5155803,1172.617326,315.9450225,315.9450225,315.9450225,315.9182159,315.8601488
