id,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021,restau.5_2017,restau1_2017,restau.5_2018,restau1_2018,restau.5_2019,restau1_2019,restau.5_2020,restau1_2020,restau.5_2021,restau1_2021
5201,490.211641,1085.590488,1112.141277,491.1619094,269.4036996,269.4036996,64.62051966,1494.656132,149.3592227,149.3592227,172.6594106,170.5184982,171.2787508,56.41117916,57.87983185,57.87983185,57.9551673,57.9551673,333.1830946,333.1830946,332.5286738,332.7114267,333.1779431,240.8826302,205.9707017,205.9707017,167.6900189,168.0372888,379.1364687,93.18442928,93.18442928,93.18442928,302.6060811,366.7581442,366.7581442,366.7581442,366.7581442,354.2458143,316.5176952,316.5176952,316.5176952,330.5722857,301.8315752,340,703,357,724,399,835,370,825,359,865
5202,1768.942249,2767.370274,1481.615228,864.7458219,2732.745631,427.84813,624.3143965,2085.655708,77.58975959,79.78413525,133.0340076,142.4049538,142.4049538,52.83976507,52.83976507,53.06197666,223.9214066,223.9214066,826.6205952,853.5773926,853.5773926,811.0397426,853.5773926,79.05822562,79.05822562,79.05822562,71.15224944,71.15224944,168.7813416,168.7813416,168.7813416,168.7813416,166.5535304,437.6649702,412.7433922,469.6788409,501.3290587,506.8904105,413.6991649,500.564798,413.6991649,429.5494887,459.8549281,53,299,48,266,55,290,39,272,54,300
5203,1688.520451,2306.066291,1672.301219,299.1110215,1167.465392,574.5913872,613.0118791,1324.49186,57.88880549,57.88880549,58.41882628,58.41882628,58.41882628,100.141401,44.50093668,16.24581206,23.07215776,22.59123103,645.0092554,292.8944799,446.8172537,485.3594513,523.3879912,133.9259666,74.60148751,74.60148751,74.60148751,43.2188006,608.7705241,87.53406732,68.02766979,43.01347253,135.2809421,955.2966872,955.2966872,664.5945556,664.5945556,695.1105562,282.2416599,76.15715942,282.2416599,167.4281901,28.21903805,60,319,79,338,110,417,181,584,230,767
5204,1809.999475,2798.107157,2186.932518,244.6372273,1964.893427,210.3263593,231.9562972,1909.476995,107.1827558,107.1827558,107.1827558,115.9505038,115.9505038,48.28427309,53.52279132,56.57636084,62.02234096,53.34832506,568.2995899,568.2995899,894.850484,1265.161533,1562.960606,127.8166826,127.8166826,127.8166826,141.8497565,105.0906327,137.8328538,390.947341,390.947341,162.3235821,149.6684824,808.9491855,701.8017116,740.6864569,731.9518995,736.5274078,585.183963,585.183963,585.183963,585.183963,585.183963,210,612,181,571,161,614,125,561,110,597
5205,2455.001614,2455.001614,915.7191876,247.7002429,3482.401633,307.5447574,428.7489541,2553.610819,314.5735852,224.4937453,224.4937453,224.4937453,224.4937453,20.91387316,5.104211654,5.712219896,6.268673858,13.39229649,471.4929149,471.4929149,469.1403177,457.6698047,471.4929149,69.41840806,69.41840806,69.41840806,69.41840806,69.41840806,394.9959617,394.9959617,394.9959617,462.7087107,462.7087107,403.7972398,529.7551967,529.7551967,436.5840545,436.5840545,400.0814545,412.5470429,204.2926931,114.7410816,128.6501731,125,496,142,476,123,478,117,491,154,542
5206,2091.412819,2436.77078,1302.411293,348.1980224,967.738697,644.3487367,275.7468184,2036.68159,398.7325978,438.345928,279.0971843,288.5160631,288.5160631,110.9890048,137.3883628,157.4977501,127.3440082,132.3558471,774.6812095,774.6812095,654.8486787,654.8486787,773.3552703,246.3537581,117.2130458,117.2130458,117.2130458,125.7840156,104.2336382,104.2336382,104.2336382,115.9489067,108.7871588,740.8090195,784.4258063,802.4744852,802.4744852,902.6298201,513.4009535,147.9391765,147.9391765,147.9391765,134.8690703,86,678,82,703,102,776,154,816,192,954
5207,2381.120197,2381.120197,779.3638809,282.9128107,2288.701512,498.9600067,352.5725922,955.1018333,106.7942682,106.360248,106.360248,106.1007121,115.6630126,72.85822593,17.87712536,17.87712536,88.74002605,96.13022267,492.8230479,492.8230479,465.1754709,462.5115609,466.9234471,91.38761072,91.38761072,88.73417242,112.753798,96.96017859,110.146738,110.146738,110.8384902,110.8384902,91.49045525,472.489073,481.8049924,472.7140241,473.278716,475.8211428,190.9716113,109.0239787,109.0239787,109.0239787,109.0239787,200,661,219,744,248,858,245,844,241,847
5208,416.6535485,5560.960743,432.9066698,377.4863954,629.5476746,629.5476746,665.3306541,806.6752972,113.2092312,113.2092312,109.9731817,113.4006194,113.4006194,41.39987693,31.15227672,47.55841751,48.29175621,25.02438749,86.26174037,86.26174037,90.29081723,90.35022758,88.14946043,205.5731987,205.5731987,172.2434849,166.0585731,165.2502036,111.9852492,92.08362898,89.71348196,110.5680198,269.3843174,307.594365,307.594365,307.594365,287.4439986,276.6819396,278.624999,286.1148925,220.1427229,209.9623393,92.14453043,631,1621,648,1583,732,1725,807,1764,911,1865
5209,2073.51106,2838.256526,1877.278535,457.558625,1489.081935,358.2232295,293.2126489,2059.443933,327.0539,327.0539,323.5390232,323.7192189,324.8926078,13.65878613,9.762415248,9.762415248,31.64454791,13.50079503,683.5763801,721.1706073,699.4193769,1252.996629,1194.460563,7.760035382,7.760035382,7.760035382,7.760035382,11.42167191,206.4265918,206.3571299,224.8096885,205.4587817,205.4587817,1188.545665,1072.488741,1072.488741,769.7592994,775.3150918,318.0069541,169.9776153,169.9776153,169.9776153,333.234985,242,578,219,552,213,568,189,543,169,569
5210,2147.665088,2268.191813,1283.148142,754.6009076,1718.398179,94.3038977,364.7657236,1131.481946,195.6925678,183.4293002,183.4293002,166.0992867,164.5909517,14.98314497,12.17249068,12.58301864,26.62899708,26.53656332,246.2479628,231.1129011,182.7989191,182.9806883,187.1980139,355.2387454,22.00747169,22.00747169,49.76322727,16.94688848,217.4469394,224.0363542,203.9206713,73.51636328,73.51636328,1143.512767,1155.186719,1143.775293,1030.264288,231.4467604,367.1519059,276.1216559,276.1216559,161.3363472,193.610791,110,547,155,676,153,729,181,773,189,801
