resblock_id,resblock_name,jiedao
id5011000007319,鹤如路185弄,白鹤镇
id5011000007319,西晶明园,白鹤镇
id5011000007323,园西小区,川沙新镇
id5011000007324,丽园路640号,打浦桥街道
id5011000007326,延平路482弄,曹家渡街道
id5011000007327,闻喜路1223弄,彭浦新村街道
id5011000007329,宜山路400弄,徐家汇街道
id5011000007332,长乐路434弄,瑞金二路街道
id5011000007333,岚皋西路45弄,石泉路街道
id5011000007334,湖南路4弄,湖南路街道
id5011000007335,秀山支路5弄,徐家汇街道
id5011000007336,古美西路316弄,梅陇镇
id5011000007337,栖山路470弄,洋泾街道
id5011000007339,合肥路127弄,淮海中路街道
id5011000007340,嘉善路232弄,天平路街道
id5011000007341,永嘉路39弄,瑞金二路街道
id5011000007343,上音小区,湖南路街道
id5011000007345,宛平南路65弄,徐家汇街道
id5011000007346,江川路291弄,江川路街道
id5011000007347,常熟路100弄,静安寺街道
id5011000007350,吴兴路30弄,天平路街道
id5011000007351,上南路3827弄,三林镇
id5011000007353,南昌路260号,瑞金二路街道
id5011000007354,昌化路977弄,长寿路街道
id5011000007355,新闸路1644弄,江宁路街道
id5011000007356,张杨路370弄,陆家嘴街道
id5011000007357,虹许路971弄,虹桥街道
id5011000007360,万安路979弄,江湾镇街道
id5011000007361,南京西路450弄,南京东路街道
id5011000007367,新泾路120弄,新泾镇
id5011000007369,吴家湾路52弄,江湾镇街道
id5011000007369,纪念小区,江湾镇街道
id5011000007370,县左街24弄,豫园街道
id5011000007372,定西路419弄,新华路街道
id5011000007375,蓬莱路303弄,老西门街道
id5011000007376,利西路47弄,江苏路街道
id5011000007377,临平路30弄,嘉兴路街道
id5011000007379,水电路1381弄,凉城新村街道
id5011000007380,瞿溪路680弄,五里桥街道
id5011000007381,牌楼路41弄,老西门街道
id5011000007382,河南南路790弄,老西门街道
id5011000007383,娄山关路810弄,天山路街道
id5011000007385,卫清西路950弄,山阳镇
id5011000007386,天宝西路8号,欧阳路街道
id5011000007387,利安小区,江苏路街道
id5011000007388,安化路309号,华阳路街道
id5011000007393,宋园路46弄,虹桥街道
id5011000007395,法华镇路315弄,新华路街道
id5011000007396,光启路103弄,豫园街道
id5011000007403,仙霞西路715弄,新泾镇
id5011000007404,昭化路60弄,华阳路街道
