id,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021
3201,3258.752779,3258.752779,3745.992998,1845.833133,3298.206881,1505.872006,1590.669621,6502.324941,123.27559,275.2691649,275.2691649,275.2691649,274.7903524,184.3805072,62.7542166,63.31834992,63.31834992,63.31834992,752.22321,752.22321,769.6570341,393.7028581,393.7028581,119.7717085,119.7717085,119.7717085,119.7717085,226.0137953,425.3403545,425.3403545,303.4660812,286.6117898,286.6117898,445.652651,445.652651,347.7810484,347.7810484,347.7810484,576.7090745,489.7815084,485.1257556,329.9333176,417.1204773
3202,2249.796215,2249.796215,592.4677862,520.7520923,315.1084164,315.1084164,977.5779046,1231.636857,101.7641872,101.7641872,101.7641872,101.4612519,100.783433,86.59704149,71.83928786,139.6424743,64.94834617,65.52578201,1313.594682,704.315914,627.4456386,627.4456386,627.4456386,103.053704,106.0693326,106.0693326,106.0693326,106.0693326,461.2067036,485.8142237,485.8142237,504.0441785,503.9393581,543.6140459,543.6140459,484.1751055,484.1751055,484.1751055,436.2805065,436.2805065,436.2805065,549.7531546,635.1846928
3203,1775.017294,1775.017294,778.2644269,777.9550631,719.2286904,701.6105035,812.7174331,595.6144865,97.60656929,97.69038489,97.60656929,97.60656929,97.52481216,56.90147567,48.56875113,48.56875113,76.20577736,62.63671333,191.7254657,191.7254657,201.4515413,205.5206135,205.5206135,97.01541172,97.01541172,86.73697527,94.02347869,84.45145064,148.585522,149.2358176,249.9803558,98.04391298,85.39107417,1077.173966,998.6451556,998.6451556,148.5518972,148.5518972,68.3353865,68.3353865,68.3353865,35.29474353,68.3353865
3204,1418.47845,1418.47845,2658.873957,668.0022595,8966.145174,1656.573304,574.125927,3295.929012,191.1415917,194.9815764,194.9815764,245.8524919,223.9535172,169.2490169,169.2490169,169.2490169,169.2490169,250.5878993,1727.141323,1727.141323,1729.690184,891.670883,882.4967023,148.4285816,148.4285816,148.4285816,310.0965859,270.6078561,467.7612385,469.8598521,1048.185557,301.0268392,301.4856479,1321.898909,1321.898909,1321.898909,944.8598964,944.8598964,478.7547699,628.357818,628.357818,616.5943079,460.7542193
3205,1885.600817,1885.600817,578.0546248,515.2367077,718.0073084,44.12297226,261.5973352,796.8320365,174.9007138,174.9007138,174.9007138,174.9007138,174.9007138,24.38761675,26.24543762,26.24543762,73.93981398,73.93981398,416.6550445,416.6550445,412.0335844,412.2972297,412.2972297,85.48676161,85.48676161,184.6054996,190.1746821,187.2819623,72.13011947,72.13011947,131.4704139,131.4704139,240.2798158,94.64630974,94.64630974,94.64630974,94.64630974,94.64630974,86.83019119,86.83019119,86.83019119,129.2077638,129.2077638
3206,3579.228039,3579.228039,8103.402453,902.5326961,9875.573382,770.1432118,1436.253324,3147.086174,334.4368313,334.4368313,334.4368313,334.4368313,334.4368313,169.1951532,169.1951532,169.1951532,311.7944497,311.7944497,2666.198174,2666.198174,2604.907221,2604.907221,2603.554602,215.6895665,215.6895665,215.6895665,215.6895665,215.6895665,937.266063,903.7518535,939.5813236,842.4194806,842.4194806,2880.128963,2674.267592,2684.273866,2529.927678,2529.182862,875.3381868,875.3381868,875.3381868,875.3381868,1125.049354
3207,2143.367053,2143.367053,814.330995,691.6108506,495.3298841,495.3298841,783.8347897,1142.727817,154.3086385,154.3086385,154.3086385,154.4822074,154.8767437,109.7650374,109.7650374,31.40527436,31.40527436,109.7650374,1393.464883,492.5848972,431.7390262,431.7390262,431.7390262,160.3551183,163.8920953,163.8920953,163.8920953,163.8920953,239.4666988,239.4666988,239.4666988,307.167313,307.167313,795.9159568,795.9159568,625.0215125,625.0215125,621.2068605,592.2231818,686.1172171,651.5316826,352.8390759,446.8945595
3208,532.696653,1354.246865,899.3697533,606.1875615,293.6453212,293.6453212,336.8188085,1087.673938,38.14885546,38.14885546,38.77688749,57.49546822,56.9612171,24.49738404,22.00028711,25.33204764,2.290968474,23.74480328,95.14741173,95.14741173,95.94138682,95.94138682,94.82872244,27.45282003,27.45282003,27.45282003,27.45282003,27.45282003,36.05416215,36.05416215,36.05416215,84.7093318,56.14294931,238.7313489,238.7313489,238.7313489,238.7313489,178.5136339,84.79348435,27.87731613,84.79348435,58.99846269,61.31967199
3209,1195.005394,3048.360588,955.2747198,458.7090702,1717.979518,1717.979518,1096.977889,2296.243644,150.9564935,151.1114063,147.7883348,147.7883348,147.9948555,245.5899254,45.31662024,260.600969,341.1987511,256.9128696,745.0770722,1429.326468,1429.898938,1429.898938,1429.898938,252.4660634,252.4660634,252.4660634,252.4660634,324.5757687,247.1103313,247.1103313,247.1103313,255.2520643,232.7201409,752.2714315,752.2714315,752.2714315,771.8177088,761.2747659,703.1336123,1080.727428,1080.727428,724.6512935,728.3290361
3210,1385.407305,1385.407305,1512.026142,602.0691107,508.0432744,508.0432744,682.0874097,4219.394042,446.3352762,446.5709946,446.5709946,35.09221936,35.09221936,94.73188625,56.66411204,56.66411204,56.66411204,40.28321351,177.7392461,177.7392461,177.7392461,684.8159294,686.5483044,403.8779041,156.4675729,154.3589769,98.11027636,95.54458581,329.5689467,101.020371,197.9356883,159.4123389,88.1746671,328.9434776,328.9434776,202.5694391,202.5694391,202.5694391,329.5689467,69.09185201,69.09185201,223.3477632,105.3533858
