resblock_id,resblock_name,jiedao
5011000000117 ,平型关路245弄,共和新路街道
5011000000118 ,阳景小区,临汾路街道
5011000000122 ,岭南小区,彭浦新村街道
5011000000126 ,铁道路682号,五里桥街道
5011000000127 ,杜家滩14号,岳阳街道
5011000000129 ,丹徒路210弄,提篮桥街道
5011000000130 ,保利叶语公寓二期,顾村镇
5011000000130 ,保利叶语公寓,顾村镇
5011000000130 ,保利叶语公寓一期,顾村镇
5011000000130 ,保利叶语一期公寓,顾村镇
5011000000132 ,东余杭路222号,提篮桥街道
5011000000134 ,星汇广场一期,新江湾城街道
5011000000134 ,建发珑庭公寓,新江湾城街道
5011000000135 ,金山名都,朱泾镇
5011000000138 ,林梅小区,东明路街道
5011000000139 ,平型关路230弄,共和新路街道
5011000000143 ,兴和苑,金杨新村街道
5011000000146 ,长眉小区,大桥街道
5011000000147 ,万科梦想派,中山街道
5011000000149 ,文化名邸,新江湾城街道
5011000000150 ,良辰美景公寓,江湾镇街道
5011000000152 ,杨思水境园,三林镇
5011000000154 ,三门路48弄,五角场镇
5011000000155 ,阳曲路391弄,临汾路街道
5011000000157 ,瑞和华苑,浦江镇
5011000000157 ,宝宸共和家园,浦江镇
5011000000157 ,瑞和华苑北区,浦江镇
5011000000158 ,梅园新村嘉定,菊园新区管委会
5011000000159 ,东港花苑,祝桥镇
5011000000160 ,仁恒运杰河滨花园二期,夏阳街道
5011000000161 ,寺平北路140弄,亭林镇
5011000000162 ,富康苑,康桥镇
5011000000164 ,丰镇小区,江湾镇街道
5011000000165 ,虹光小区,新虹街道
5011000000166 ,东门新村,城桥镇
5011000000167 ,长城珑湾,惠南镇
5011000000167 ,中洲珑悦,惠南镇
5011000000169 ,红旗新村,朱泾镇
5011000000170 ,齐四小区,周家渡街道
5011000000172 ,丽泽菊清苑,书院镇
5011000000173 ,崧泽华城华中苑,赵巷镇
5011000000174 ,三杨新村二街坊,三林镇
5011000000175 ,润和苑,泗泾镇
5011000000175 ,润和苑一期,泗泾镇
5011000000175 ,润和苑三期,泗泾镇
5011000000175 ,润和苑二期,泗泾镇
5011000000176 ,南北周,菊园新区管委会
5011000000177 ,民乐社区南苑六村,菊园新区管委会
5011000000179 ,燎原一村,海湾镇
5011000000182 ,新乐花苑,新成路街道
5011000000183 ,南湾新村,大团镇
5011000000184 ,盈港商住新村,盈浦街道
5011000000188 ,建机新村,广中路街道
5011000000190 ,密云路611弄,曲阳路街道
5011000000191 ,跃高新村,新海镇
5011000000192 ,新市南路561弄,江湾镇街道
5011000000194 ,教苑新村,夏阳街道
5011000000197 ,万安新村,朱泾镇
5011000000198 ,松汇西路289弄,永丰街道
5011000000199 ,茸惠路858弄,中山街道
5011000000199 ,中山文化苑二期,中山街道
5011000000201 ,牡丹江路182弄,吴淞街道
5011000000203 ,朝农新村,祝桥镇
5011000000206 ,赤峰路333号,曲阳路街道
5011000000207 ,宝昌路520弄,宝山路街道
5011000000217 ,公兴路45弄,宝山路街道
5011000000218 ,广延路25弄,大宁路街道
5011000000223 ,中建锦绣天地,徐泾镇
5011000000224 ,零陵路648号,徐家汇街道
5011000000227 ,泾港公寓,赵巷镇
5011000000229 ,广中路556号,广中路街道
