id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4545,265.124471,265.124471,1010.579958,1010.579958,1269.248501
4546,2360.25678,2360.25678,2360.25678,2360.25678,8423.659149
4547,523.014414,523.014414,523.014414,882.110576,6905.912349
4548,1752.086851,1752.086851,1752.086851,1752.086851,8345.004252
4549,2315.540493,2315.540493,1071.850463,596.0803604,6186.379024
4550,2369.468808,2369.468808,396.1754793,396.1754793,4772.200982
4551,3956.623588,3956.623588,1103.48435,1103.48435,6466.015877
4552,2791.417262,2791.417262,2226.708767,2226.708767,4493.646364
4553,1339.312017,1339.312017,1339.312017,2405.423537,3421.56918
4554,847.7245038,847.7245038,119.9281482,119.9281482,6766.599572
4555,4846.358669,4846.358669,4546.735187,4546.735187,1685.612017
4556,189.880276,189.880276,189.880276,189.880276,7502.48444
4557,481.816392,481.816392,481.816392,481.816392,6201.57903
4558,1750.065808,1750.065808,1429.076719,1429.076719,1750.065808
4559,2286.360164,2286.360164,2082.808897,2082.808897,4188.753082
4560,2429.752031,2429.752031,1098.924318,657.3143181,5838.978185
4561,2918.726779,2918.726779,2732.43301,2732.43301,3777.630622
4562,1585.683526,1585.683526,1585.683526,1585.683526,5540.558431
4563,3475.685922,3475.685922,2718.650174,2718.650174,8726.094079
4564,1924.322014,1924.322014,1924.322014,1924.322014,2224.575394
4565,2703.186239,2703.186239,947.3070053,947.3070053,5204.4801
4566,754.940711,754.940711,754.940711,754.940711,2686.273771
4567,3014.334818,3014.334818,1281.05632,1281.05632,5498.775236
4568,2162.120288,2162.120288,2162.120288,3113.151564,3753.378333
4569,649.0288561,649.0288561,461.5481048,461.5481048,649.0288561
4570,1194.572028,1194.572028,1110.091432,1110.091432,1194.572028
4571,4318.264712,4318.264712,1453.716844,1453.716844,6823.678278
4572,4414.592617,4414.592617,2325.41307,2325.41307,7792.484478
4573,3955.398451,3955.398451,3301.700071,3301.700071,6418.731696
4574,2184.465682,2184.465682,2049.577934,2049.577934,2184.465682
4575,3721.7938,3721.7938,3622.301524,3622.301524,2653.276024
4576,463.4175878,463.4175878,463.4175878,463.4175878,463.4175878
4577,3039.967513,3039.967513,1596.384694,1596.384694,7637.713494
4578,1539.719221,1539.719221,1539.719221,9824.120098,5390.010419
4579,1814.752123,1814.752123,1648.358943,1648.358943,1814.752123
4580,1814.105403,1814.105403,1814.105403,1814.105403,8737.939047
4581,4518.27892,4518.27892,9826.771348,9826.771348,2520.486313
4582,1382.312995,1382.312995,1382.312995,1382.312995,7934.475997
